# DO_NOT_CHANGE_HEADER,DataType,ID,Name,Category_Or_Symptom,BodyParts,Description,Tpl_Complaints,Tpl_Findings,Tpl_Treatments,Tpl_Recommendations,Rel_MuscleIDs,Rel_ActionIDs
"",TAG,tag_g_jaw_closers,閉口肌群 (Jaw Closers),muscleGroup,head,功能：上提下頜骨(閉嘴)。包含咬肌與內翼肌。,"","","","","tag_m_masseter|tag_m_ptery_med",""
"",TAG,tag_m_masseter,咬肌 (Masseter),muscleGroup,head,動作：閉嘴/同側偏移。觸診：臉頰外側。單側緊繃導致下巴偏向同側。,"","","","","",""
"",TAG,tag_m_ptery_med,內翼肌 (Medial Pterygoid),muscleGroup,head,動作：閉嘴/對側偏移。觸診：下頜角內側。單側緊繃導致下巴偏向對側。,"","","","","",""
"",TAG,tag_m_temporalis,顳肌 (Temporalis),muscleGroup,head,動作：閉嘴/下頜後縮。緊繃常引起太陽穴頭痛。,"","","","","",""
"",TAG,tag_m_ptery_lat,外翼肌 (Lateral Pterygoid),muscleGroup,head,動作：張嘴/下頜前突。與關節盤相連，緊繃易導致TMJ彈響。,"","","","","",""
"",TAG,tag_m_frontalis,額肌 (Frontalis),muscleGroup,head,動作：提眉。與枕肌透過帽狀腱膜相連，影響張力性頭痛。,"","","","","",""
"",TAG,tag_m_occipitalis,枕肌 (Occipitalis),muscleGroup,head,動作：後拉頭皮。緊繃常造成後腦勺緊繃感。,"","","","","",""
"",TAG,tag_m_scm,胸鎖乳突肌 (SCM),muscleGroup,neck,動作：屈頸/對側旋轉。斜頸症(Torticollis)主因。,"","","","","",""
"",TAG,tag_m_scalenes,斜角肌群 (Scalenes),muscleGroup,neck,包含前/中/後斜角肌。動作：提肋/側彎。緊繃易壓迫臂神經叢(胸廓出口症候群)。,"","","","","",""
"",TAG,tag_m_deep_neck_flex,頸前深層屈肌 (Deep Neck Flexors),muscleGroup,neck,包含頭長肌(Longus Capitis)/頸長肌(Longus Colli)。頸椎核心穩定，揮鞭傷後易無力。,"","","","","",""
"",TAG,tag_m_splenius,夾肌 (Splenius),muscleGroup,neck,包含頭夾肌(Capitis)/頸夾肌(Cervicis)。動作：伸頸/同側旋轉。,"","","","","",""
"",TAG,tag_m_suboccipitals,枕下肌群 (Suboccipitals),muscleGroup,neck,動作：頭部精細控制。緊繃易導致上頸椎活動度受限與頭痛。,"","","","","",""
"",TAG,tag_m_trap_u,上斜方肌 (Upper Trapezius),muscleGroup,neck|shoulder,動作：肩胛上提/上旋。圓肩與聳肩體態常見緊繃。,"","","","","",""
"",TAG,tag_m_trap_m,中斜方肌 (Middle Trapezius),muscleGroup,upper-back|shoulder,動作：肩胛後縮(Retraction)。,"","","","","",""
"",TAG,tag_m_trap_l,下斜方肌 (Lower Trapezius),muscleGroup,upper-back|shoulder,動作：肩胛下壓/上旋。常無力導致聳肩代償。,"","","","","",""
"",TAG,tag_m_levator,提肩胛肌 (Levator Scapulae),muscleGroup,neck|upper-back,動作：肩胛上提/下旋。落枕常見痛點。,"","","","","",""
"",TAG,tag_m_rhomboids,菱形肌 (Rhomboids),muscleGroup,upper-back,動作：肩胛後縮/下旋。膏肓痛常見位置。,"","","","","",""
"",TAG,tag_m_serratus_ant,前鋸肌 (Serratus Anterior),muscleGroup,chest|upper-back,動作：肩胛前突/上旋。無力會導致翼狀肩胛(Winging)。,"","","","","",""
"",TAG,tag_m_serratus_post_i,後下鋸肌 (Serratus Post. Inf.),muscleGroup,lower-back,動作：下拉下部肋骨(吐氣)。下背痛與肋骨活動受限相關。,"","","","","",""
"",TAG,tag_m_pec_minor,胸小肌 (Pectoralis Minor),muscleGroup,chest,動作：肩胛前傾/下壓。緊繃會壓迫神經血管(TOS)。,"","","","","",""
"",TAG,tag_m_subclavius,鎖骨下肌 (Subclavius),muscleGroup,chest,動作：穩定鎖骨。,"","","","","",""
"",TAG,tag_m_delt_ant,三角肌-前束 (Ant. Deltoid),muscleGroup,shoulder|arm,動作：肩屈曲/內旋。,"","","","","",""
"",TAG,tag_m_delt_mid,三角肌-中束 (Mid. Deltoid),muscleGroup,shoulder|arm,動作：肩外展。,"","","","","",""
"",TAG,tag_m_delt_post,三角肌-後束 (Post. Deltoid),muscleGroup,shoulder|arm,動作：肩伸直/外旋/水平外展。,"","","","","",""
"",TAG,tag_m_pec_major_c,胸大肌-鎖骨端 (Pec Major-Clav),muscleGroup,chest|shoulder,動作：肩屈曲/內收。,"","","","","",""
"",TAG,tag_m_pec_major_s,胸大肌-胸骨端 (Pec Major-Stern),muscleGroup,chest|shoulder,動作：肩伸直(從屈曲位)/內收。,"","","","","",""
"",TAG,tag_m_lat_dorsi,闊背肌 (Latissimus Dorsi),muscleGroup,upper-back|lower-back,動作：肩伸直/內收/內旋。攀爬與划船動作主力。,"","","","","",""
"",TAG,tag_m_teres_major,大圓肌 (Teres Major),muscleGroup,shoulder,動作：肩伸直/內收/內旋。功能類似闊背肌。,"","","","","",""
